item_id,user_id,region,city,parent_category_name,category_name,param_1,param_2,param_3,title,description,price,item_seq_number,activation_date,user_type,image,image_top_1,deal_probability
00b7e645be73,8ad92ef3608b,Самарская область,Самара,Личные вещи,Детская одежда и обувь,Для мальчиков,Верхняя одежда,110-116 см (4-6 лет),Куртка демисезонная,В хорошем состоянии. Без капюшона.Торг. Предложите свою цену.,1000.0,1,2017-03-16,Private,b050137a7f13720f7620460b15153e828ee199a3dca4c35c0612d4d49e44c7e5,52.0,0.0
00bf68b0fb29,d36adadc73fb,Нижегородская область,Нижний Новгород,Для дома и дачи,Ремонт и строительство,Стройматериалы,,,Цемент 212р. мешок в подарок,"М400 АзияЦемент г.Пенза 40кг..- 212р./
М500 АзияЦемент г.Пенза 50кг. - 285р./
М400 АзияЦемент г.Пенза 50кг.. - 275р./
Каждый 21-й мешок в подарок./
Доставка по городу и области, газель, манипулятор, длиномер, тонер. От одного мешка до любых объёмов.",212.0,17,2017-03-15,Private,d201443242911153d356f922879dfcfe149deeb1035795d6f018c5bfc979b8f3,1338.0,0.0
00c1bd61ce1b,71d3f2fdbb00,Новосибирская область,Бердск,Недвижимость,Квартиры,Продам,Студия,Новостройка,"Студия, 27.4 м², 7/16 эт.","Квартира от подрядчика. Услуги 0%/
 /
Расмотрим обмен, ипотека, мат.капитал/
 /
 ",958000.0,52,2017-03-28,Shop,ad696fd52957c095427e481d41a496a18a1e72e213df4613f5458788e531a803,2221.0,0.0
00d292c92f8d,f103f8024460,Самарская область,Тольятти,Бытовая электроника,Ноутбуки,,,,Ноутбук Samsung NP355v5x,"Продается ноутбук в хорошем состоянии установлена Виндовс 7 /
A6-Series/
Процессор: 	AMD A6-Series 2700 МГц Trinity (A6-4400M)/
Количество ядер:	2/
Шина/Кеш:	1 Mb L2 (L3) Cache/
Оперативная память: 4096 Мб DDR3-1600МГц/
Экран:	15.6"" LED /
Разрешение:	(1366x768) WXGA/
Видеокарта: 	AMD Mobility Radeon HD 7670, 1024+1632 Мб , Доп. карта: AMD Radeon HD 7520G, 512 + 1632 Мб/
Звуковая карта:	Intel High-Definition Audio/
Жесткий диск: 320Гб (5400 rpm), HDD/
Оптический привод:DVD±RW (DL)/
Связь:	lan 10/100/1000/
Беспроводная связь: 	Bluetooth 3.0 + HS, WiFi (802.11a/b/g/n)/
Порты:	2xUSB 2.0, 2xUSB 3.0, Kensington security, Line-out, Mic-in, HDMI, VGA/
Слоты расширения:	Card Reader (SD/SDHC/SDXC/MMC)  /
Дополнительные устройства:	Camera (1.3)/
Устройства ввода:	Кл-ра Windows, Сенсорный планшет Touch Pad/
Батарея:	Li-Ion 4400 мАч (до 6.0 часов)/
Вес:	2.250 кг/
Цвет:	Серебристый Металлик/
Цвет клавиатуры:	Черный/
Материал корпуса:	Пластик/
Корпус (Д х Ш х В):	367x240x30 мм/
Есть сумка продаеться за 500руб",12500.0,22,2017-03-18,Private,14c6cf6869be3399797172dc25b2de7689bc6660bcf41f5dc1aa71c8f4fdb9c6,2959.0,0.0
00d5873f9695,289d80aeed9b,Свердловская область,Екатеринбург,Транспорт,Автомобили,С пробегом,ВАЗ (LADA),Priora,"LADA Priora, 2011",После не большого дтп.130000 пробег.полная комплектация.2011 года ноябрь.требуется покраска.горантия на подвеску до август месяца.170000 торг.,170000.0,10,2017-03-22,Private,,,0.7376
00e566238ee8,1bccbf914190,Тюменская область,Тюмень,Бытовая электроника,Телефоны,iPhone,,,iPhone 6 16gb,"Телефон новый, цвет space gray, был подарен 7.03.17 но я не люблю iPhone! Обменяю на достойный Андройд (android)! Предложения по обмену в сообщениях на авито!",,136,2017-03-16,Company,3b41d3fc3acd0967953a9354b1ab1faf6751056f17a5f6dd64e02a52f7da8d87,2918.0,0.0
00ef14770690,6a3cb8a2a910,Волгоградская область,Волгоград,Личные вещи,Детская одежда и обувь,Для девочек,Другое,,Костюм,"Новый с этикеткой, от 3-6 м.",300.0,43,2017-03-24,Company,052c6adc7cc5780a379a7d8cf508ded691fb0889f56dd8529718f01cfa1bf6f7,81.0,0.12459
00f47c080c04,e9e2bad355a6,Свердловская область,Екатеринбург,Личные вещи,"Одежда, обувь, аксессуары",Женская одежда,Верхняя одежда,44–46 (M),Пальто жилет бу,"Продам пальто-жилет в отличном состоянии, одевала 3 раза. Размер 46. Самовывоз с Билимбаевской.",700.0,78,2017-03-16,Private,f65dbcac41ade5979a6408ff7c1b0fde76c7fd6a19f8ef104dedffb03a1e22a0,125.0,0.0
00fedb2ae612,d9eae0bb6449,Омская область,Омск,Бытовая электроника,Телефоны,Prestigio,,,Prestigio muzu f3,Продам  отличный телефон с диагональю 5.3 дюйма обновленным андройдом 5.0.2. камера 8мп и 3.2 мп имеется фронтальная вспышка. телефон хороший царапины только на задней крышки и то незначительные. телефон имеет полный комплект и стоит на гарантии телефону меньше года. хороший звук и экран не искажается. батарею сутки держит спокойно при активном пользовании. причина продажи та что подарили другой телефон и теперь этот лежит без дела. торг минимальный и реальному покупателю.,5000.0,15,2017-03-19,Private,91d5fa2cffdefc76aaf9bb5d85d8b813d7b00d6294fd2dbf0961f080bdc60736,2925.0,0.0
0106679cf24c,262df27da04f,Удмуртия,Ижевск,Личные вещи,"Одежда, обувь, аксессуары",Мужская одежда,Обувь,< 40,Ботинки мужские,"Продам мужские ботинки, лакированная натуральная кожа, размер 39. Одевались 1 раз на свадьбу.",1500.0,21,2017-03-27,Private,dc5cca20edf2e2e7640cfac4e30cb32bccfca11e405ba2158f109de1cd44a6be,639.0,0.80323
01071a9cdc8e,452e333bbf47,Саратовская область,Аркадак,Личные вещи,"Одежда, обувь, аксессуары",Женская одежда,Платья и юбки,42–44 (S),Вечернее платье,"Продам вечернее короткое платье. Застёгивается на молнию, лямки регулируются по размеру. Платье в отличном состоянии.",4000.0,12,2017-03-19,Company,819d56c719a4b35d70024af48c889068e80a100e9c664f8a66d4814fbc62836c,834.0,0.15813
01129dddbda0,4830643acb97,Свердловская область,Заречный,Для дома и дачи,Бытовая техника,Для кухни,Мелкая кухонная техника,,Электросковорода Волшебница-4,Б\У,1100.0,72,2017-03-23,Private,858e6554aa2bef7999af18a90be4fbffed0ed3632985ad884bd5ef1edffaea2a,1662.0,0.0
01134b9bf7df,557a7cae55b6,Ростовская область,Ростов-на-Дону,Личные вещи,"Одежда, обувь, аксессуары",Женская одежда,Платья и юбки,42–44 (S),Платье черно-белое,"Красивое нарядное платье на выход, сидит по фигуре, сзади завязывается шикарный шёлковый бант, требует химчистки, цена соответствующая, покупала за 6 т.р., одевала на выход 2 раза.",500.0,143,2017-03-27,Company,08a63e5a3ec59c6688c3413da02ed2f24db798c7007e40ee6065e26df089a459,618.0,0.0
0119d01aeb0a,59ecb53c09c4,Пермский край,Пермь,Для дома и дачи,Ремонт и строительство,Стройматериалы,,,"Металлопрокат от 0,01т","Арматура, профильная труба, угол, круглая труба, балка, сетка, швеллер, профнастил и др. В наличии и под заказ. Резка, доставка.",,3,2017-03-16,Company,767f97c5e522c45a9b791b1c0192b61d4021ab1e0f932ffe3ab6aa77fc01c0c9,1323.0,0.0
013a78026a61,39ea052f0fd3,Саратовская область,Саратов,Личные вещи,Красота и здоровье,Парфюмерия,,,Chanel coco mademoiselle,Стоит пылиться флакон..,1500.0,25,2017-03-26,Private,a15b2caa258ecac748f79c90739e7a50be5bcf02a2788b9727465a7528625cc8,783.0,0.0
0143eb60523c,768fdba2ae6e,Ярославская область,Ярославль,Личные вещи,Детская одежда и обувь,Для девочек,Платья и юбки,146-152 см (10-12 лет),Туника,В хорошем состоянии.,100.0,30,2017-03-16,Private,c77a00d1812546d871b29928a0ea6ccd826cd86e9e47d242323800009f398c6f,108.0,0.0
014d34d30a68,f30ee29f6c2d,Калининградская область,Черняховск,Личные вещи,Детская одежда и обувь,Для девочек,Обувь,23,Ботинки,ботиночки весна-осень 23р.,200.0,35,2017-03-27,Private,e859616fb10cf0dc54a9a7e21abcdbc26e1a8f1215aeb77c5b0b1b776aa27087,88.0,0.0
0163a754613a,daa8a820f1d6,Калининградская область,Калининград,Хобби и отдых,Коллекционирование,Другое,,,Кружка Оловянная примерно 70х,"Продам кружку олово примерно 70г выпуска /
Есть клеймо.",1100.0,26,2017-03-20,Private,6700d74459a0fe27789021b018668738b0564f76cc2a0966d4e8817f856dcb46,1655.0,0.0
016c39c4f9b6,4a428138a2d3,Новосибирская область,Новосибирск,Бытовая электроника,Товары для компьютера,Клавиатуры и мыши,,,Apple a 1152 Mighty Mouse White USB,"Продам мышь apple  в отличном состояние ! С упаковкой и инструкцией . /
/
проводная мышь/
интерфейс USB/
сенсорная прокрутка/
для настольного компьютера/
светодиодная, 5 клавиш (2 программируемые)",2000.0,11,2017-03-24,Private,810c551d1475d0e1a89a7c9f720e96a6cab96cbc3ed634d8fd2e58790f977fd4,2823.0,0.0
017e33431e79,44baa1cd193f,Краснодарский край,Анапа,Транспорт,Автомобили,С пробегом,Hyundai,Solaris,"Hyundai Solaris, 2013",Состояние нового автомобиля. Пробег всего лишь 8000 км. Не крученный. Машина в одних руках,550000.0,30,2017-03-21,Private,7494776cd12d7377d27f2976efc84c9dd832821ea174f12fa719b37bc35229fc,2262.0,0.38892
0199e8646d1c,34fbb5eb5e8d,Краснодарский край,Краснодар,Для дома и дачи,Мебель и интерьер,Компьютерные столы и кресла,,,Кресло икеа,"Продаётся белое кресло, хорошее состояние",5000.0,30,2017-03-20,Private,8d4c78bb2f077e48bbc081cd4b52f423e86602d11f882014cc90eb27d48ed86b,1436.0,0.0
019c36e4ceea,f75790d22b01,Ростовская область,Семикаракорск,Личные вещи,Красота и здоровье,Косметика,,,Гель лаки,"Причина продажи,т.к не понравились цвета,заказывали через интернет,один светло-розовый,а два тёмно красные!",450.0,27,2017-03-18,Company,e9894463f13c46466decab7c31ecfad3bc7e369fb6ab0f91dc7092877c5e12e2,783.0,0.0
01a0525a8165,b4e015fe9c68,Владимирская область,Покров,Бытовая электроника,Аудио и видео,Телевизоры и проекторы,,,Телевизор Philips 4100 LED TV,"Диагональ на 24/
Состояние как у нового. /
Имеется документы, коробка, пульт.",7500.0,14,2017-03-19,Private,3650195a3edfd8c04a2198d8ded666293c4de98efce4e17e86b154355e144d8f,3023.0,0.08818
01bf9540881f,0096cde3de48,Свердловская область,Каменск-Уральский,Личные вещи,"Одежда, обувь, аксессуары",Женская одежда,Брюки,Без размера,Штаны Для Беременных,Штаны Для Беременных,100.0,98,2017-03-20,Private,505019a6604091cbdf52bd41e5854dea213aaef8236c056be7a19e3ff6bccbba,588.0,0.0
01c5ccea2be6,57c86594d1e2,Краснодарский край,Армавир,Транспорт,Автомобили,С пробегом,ГАЗ,Соболь 2217,"ГАЗ Соболь 2217, 2003",Авто в хорошем состоянии вложений не требует рассмотрю обмен стоит газовое оборудования ТОРГ возле авто!!!,185000.0,8,2017-03-19,Private,cce0d1c30fd7549148dcc78436198d9411f5aaa14ebb132af9935ae486e11e30,1055.0,0.12548
01f9800fd17c,07cb44f26abb,Ростовская область,Ростов-на-Дону,Для дома и дачи,Растения,,,,Пакетированные семена от производителей России,"Семена производителей,цены по московскому прайсу!!!!/
Гавриш/
СеДек/
Аэлита/
НК/
Поиск/
СибСад/
Плазменные семена/
Сембат/
Интерсемя/
Агрос/
Артикул/
Евро-Семена",,10,2017-03-27,Private,5c672dd50bd99c29708187ef27a6b7f9502034aa0761673f80d5788d2ff8a54d,1174.0,0.0
02026c1f98b1,b2196282adfb,Калининградская область,Калининград,Услуги,Предложение услуг,"Ремонт, строительство",Отделочные работы,,Сделаем ремонт,"Выполним все виды малярных, плиточных, сантехнических и электромонтажных работ./
Гарантия качества и выполнения работы в срок.",,3,2017-03-25,Private,0990d9a065338dd7f31d30d6111cb2cf2e9aa1132b255ff41d5e4080407f7d89,1338.0,0.4
0202df64a422,4728f6add72c,Свердловская область,Екатеринбург,Бытовая электроника,Ноутбуки,,,,Asus M50V (гарантия),"ноутбук c экраном 15.4""/
 /
вес 3 кг/
 /
процессор Intel Core 2 Duo T8600 2400 МГц/
 /
память 2 Гб DDR2, графика Geforce 9300 GS/
 /
накопитель (HDD) 320 Гб/
 /
оптический привод DVD-RW/
 /
Bluetooth, Wi-Fi/
 /
Win 7/
 /
➜Мы даем гарантию на проверку любого купленного у нас товара/
➜Гарантия 90 дней*/
➜Бесплатная активация и настройка, помощь в установке программ*/
 /
*- по сертификату гарантии/
____________________________________________/
 /
О нашем магазине:/
 /
•большой выбор новой техники дешевле, чем в сетевых магазина на 15-50%/
 /
• огромный выбор уцененной техники - витринные образцы или не полный комплект с уценкой до 80%/
• техника по программе Trade-in: техника прошедшая полную проверку и с гарантией рабостоспособности/
------------------------/
/
Ждем Вас по адресу: г. Екатеринбург, ул. Героев России 2, ТЦ Свердловск, 1 этаж, ""Дисконтика"" ( идти по указателям ""Ломбард Техники"" ) /
Внимание: количество товаров ограничено, уточняйте наличие конкретной модели по телефону.",5490.0,918,2017-03-18,Shop,9654cca28f0642d190d750502a34cf04e453517dc5d59db9580bf3f111e15e5f,2951.0,0.0
02125873a107,73a102ceddf6,Тульская область,Узловая,Личные вещи,Детская одежда и обувь,Для девочек,Другое,,Платья для девочки,"продам праздничные платья на девочку 5 лет, хорошо подойдут на утренник в садик. каждое по 600 р",600.0,15,2017-03-19,Private,672ddb422871f0eedd21ce91ff275b4edfe31ffb705c97a9dfb087c38587459f,82.0,0.0
021874608e12,fee75dc5d2ed,Волгоградская область,Волгоград,Хобби и отдых,Спорт и отдых,Единоборства,,,Боксерские перчатки,продаю боксерские перчатки,500.0,22,2017-03-23,Private,a3a4d34a56e9c8dc4a52b690022ac4ec4234ecc8b956d5d85d09b051d2239819,2609.0,0.82668
021b6c404db4,7fbc9cb20c6f,Челябинская область,Челябинск,Хобби и отдых,Коллекционирование,Киндер-сюрприз,,,Киндер Чоппер,новый,40.0,141,2017-03-26,Company,180cbf601ab4e0204fd99c9024343fe67db3dbf24a746d96289ba7d8e1909ae7,837.0,0.0
0234e42d782e,1fe9b90ea6a7,Татарстан,Казань,Для бизнеса,Оборудование для бизнеса,Для салона красоты,,,Педикюрное кресло Профи Электрическая регулировка,"Педикюрное кресло Профи/
 /
Электрическая регулировка высоты кресла./
 /
Раздельная механическая регулировка углов наклона спинки (75⁰) и кресла (25⁰ относительно пола) дает возможность мастеру выбрать идеально удобное положение при работе./
 /
Опоры для ног - раздельные, регулируются по высоте и длине в зависимости от роста клиента. Кресло может раскладываться полностью в горизонтальное положение для косметологических процедур./
 /
Для удобства клиента подголовник регулируется./
 /
Мягкие комфортные подлокотники поднимаются, что позволяет клиенту свободно сесть в кресло и встать после окончания процедуры./
 /
Для удобства мастера и клиента кресло может вращаться на 360⁰./
 /
Анатомические мягкие элементы кресла и усовершенствованная эргономика создадут максимальный комфорт клиенту во время длительной процедуры. Кресло отвечает всем современным европейским требованиям к внешнему виду: основание, электрический двигатель и все механические элементы конструкции скрыты пластиковым кожухом, который придает креслу аккуратный внешний вид, современный дизайн и облегчает уборку./
 /
Базовые цвета: белый, коричневый. Другие цвета на заказ./
 /
Размер (ДхШхВ): 1700-1980х820х650-950 мм./
 /
есть кредит!",64990.0,133,2017-03-16,Shop,03ad20015346147dbb7c50528f381c57c9056f51bfdeb8ff84e8d9feac2f967b,724.0,0.0
023bb6b7a4a4,de549546eaa4,Ставропольский край,Невинномысск,Личные вещи,"Одежда, обувь, аксессуары",Женская одежда,Платья и юбки,44–46 (M),Сарафан для беременных,Легкий летний сарафан.,300.0,51,2017-03-23,Private,04dcb0e644efeaa4bf852e457fc6dd348feb96e7e3c6721a4e535a896116904a,386.0,0.0
025d8303eb20,c84f306ec750,Калининградская область,Калининград,Личные вещи,"Одежда, обувь, аксессуары",Женская одежда,Топы и футболки,42–44 (S),Женские брендовые свитшоты,"В связи с закрытием  шоурума брендовой одежды в Москве есть возможность приобрести свитшоты и футболки (размеры s/l/m) отличного качества по хорошей цене брендов Looney Tunes (M44,L48), Tom and Jery S (44), M (46), Didney (S,M), /
/
 Состав: 100% хлопок/
/
Розовая Didney: размер: S,M, Состав: 40%- полиэстер, 60%-хлопок.",2100.0,32,2017-03-15,Private,1042c6369220c52224660d715cfbbe1deace7d48a00eaf858b4a2a4749f87d2f,573.0,0.0
026544e54176,dddccf28026d,Алтайский край,Новоалтайск,Транспорт,Автомобили,С пробегом,ВАЗ (LADA),2109,"ВАЗ 2109, 1997",всё по телефону . торг,35000.0,9,2017-03-19,Private,ab2ec6802a35e239de5cf1b13ab9f98d316c1ea9cc001adeaefb20682b1cd452,1108.0,0.7376
0270499113b8,73138a1997b3,Белгородская область,Белгород,Хобби и отдых,Коллекционирование,Монеты,,,Монета 2 копейки 1813 года,Продам монету 1813,1300.0,11,2017-03-26,Private,,,0.0
02a39d062563,5537f9928798,Новосибирская область,Новосибирск,Личные вещи,Детская одежда и обувь,Для мальчиков,Трикотаж,62-68 см (2-6 мес),"Пинетки, носки, царапки","Фото 1: Царапки и пинетки для новорождённых. Цена 50р за всё./
Фото 2: Носочки тонкие 0-6 мес. Цена 50р за все /
Фото 3: Носочки тёплые 0-6 мес. Цена 30р за шт, синие самокатки за 40р",30.0,34,2017-03-21,Private,b17f30220e392b0016b0d8b011279792b2c939cc2b1bff6ff014827e94abe3f7,56.0,0.0
02bfc637bcfe,410c7a387a19,Ставропольский край,Ставрополь,Личные вещи,"Одежда, обувь, аксессуары",Женская одежда,Платья и юбки,42–44 (S),Платье,Состояние хорошее,350.0,83,2017-03-22,Company,d1044d9169897715d603aa7ca3aa68bc3d60c9ba4f919dc34426298ba8d47247,193.0,0.0
02c798bb5ade,88e99bc402b5,Воронежская область,Новохоперск,Личные вещи,Детская одежда и обувь,Для девочек,Верхняя одежда,110-116 см (4-6 лет),Костюм,"Продам костюм на девочку на рост 100-110,вместе с ним отдам пакет вещей,на фото не всё",1000.0,51,2017-03-24,Private,aa675017d38205be4f5f5d017ca9c83c628ada60d2d029a5bbfd076cfc98ef4b,95.0,0.0
0306aa6fee75,87f04e445d8a,Волгоградская область,Волгоград,Личные вещи,"Одежда, обувь, аксессуары",Женская одежда,Верхняя одежда,44–46 (M),Пальто,"Новое!!!! /
Пальто прямого кроя./
Цвет: черный. /
Размер: М.",3000.0,28,2017-03-18,Private,b24cb75cffe71421450348f17eb5041e120bd7f5faf635affb71a1c8ca730817,655.0,0.0
030cb6ef1825,ef7294b890c3,Новосибирская область,Новосибирск,Личные вещи,"Одежда, обувь, аксессуары",Женская одежда,Верхняя одежда,40–42 (XS),Пальто,,2500.0,35,2017-03-17,Private,865a7da257c3d247162424d048cedeb0f44e6b2f9fb5866ed762eeff74d507ec,523.0,0.0
033894db75fa,2272ad0e143e,Новосибирская область,Новосибирск,Бытовая электроника,Телефоны,Аксессуары,Чехлы и плёнки,,Чехол силикон Samsung A3 A320 2017 прозрачный 2,"Чехлы на любой бюджет вкус и цвет/
Силиконовые, пластиковые, кожа, книжки вниз-вбок и т.д./
Приезжайте, будем рады!/
----------/
МЫ НАХОДИМСЯ В Новосибирске/
⌚️Пн - Вс 11:00 - 21:00 без выходных./
Адрес: Красный проспект 2/1, Тц ""Мегас"" у автовокзала, первый этаж, дальний отдел подсвечен снизу, напротив 1-2 кассы /
Доставка: Город, Почта РФ, ТК./
Сервис по ремонту iPhone и телефонов",440.0,4473,2017-03-27,Shop,06fa41e797ffac3576330a35454849885e1b677f733bb213207029fd91ac5d4d,2909.0,0.0
0366d7b47122,37d7b0574434,Саратовская область,Балаково,Транспорт,Автомобили,С пробегом,Iveco,Daily,"Iveco Daily, 2011","Продам микроавтобус Ивеко Дейли,2011г,пробег 305 тыс, 19 мест, межгород, багажник, тахограф, глонасс, ремни.",600000.0,156,2017-03-19,Company,bbe1988ce425cc6dba7c9643190fa3a0c20c27bbd9e8be78ac6c147400fc7d43,1082.0,0.28838
0368674b23ef,6ea6682072a3,Краснодарский край,Краснодар,Личные вещи,Товары для детей и игрушки,Детская мебель,,,Пиленальный столик,"3 в 1/
Пиленальный столик,комод,ванночка.итальянский./
Отличное качество и состояние.комод на колесиках. Есть в таком же стиле детская кроватка.Продается как в комплекте,так и по отдельности./
Кроватка 5000/
Комод 7000/
Посмотреть можно на ул.Промышленной",7000.0,36,2017-03-19,Private,36286f649f88e395e858be191ce2bf6da97e9f219343ec2f0c9d96d89c223ed8,825.0,0.0
0383f0db68ce,e1c754cf4350,Краснодарский край,Краснодар,Недвижимость,Квартиры,Продам,1,Вторичка,"1-к квартира, 40.4 м², 16/17 эт.","Продам 1 комнатную квартиру по ул. Восточно-Кругликовская. На 16 этаже, 17-ти этажного монолитно-кирпичного жилого комплекса ""Панорама"". Общая площадь 40.42кв.м., жилая 15.60кв.м., кухня 12.72кв.м. Балкон застеклен МПО из кухни, металлопластикове окна, новая сантехника, санузел совместный в кафеле, полы-ламинат, входная дверь металлическая. Из мебели остается 2 дивана, 2 шкафа, стиральная машина, холодильник, встроенная кухня, электрическая плита, сплит -система. Год постройки 2015.",2270000.0,184,2017-03-15,Shop,4a594bf189e51af4856618aaa1c74fb8ae33eb9acba7956f8b4aac61640f9f6c,2219.0,0.05268
03950f03b7e5,3a8e31252377,Ярославская область,Углич,Транспорт,Автомобили,С пробегом,Toyota,Corolla,"Toyota Corolla, 1996","Машина на полном ходу,после небольшого дтп ,ланжероны не пострадали,под замену Блок фары-стекло,крышка,задний фонарь, все работает горит и мигает,остальные вопросы по телефону.мотор и коробка в отличном состоянии.",55000.0,63,2017-03-26,Private,0e4d72dc1b72ba73546a0d7a55674ce9f294b1ef1972717db0bd2a20b26a1050,2264.0,0.57699
039e0209addc,a9c4da8c5022,Краснодарский край,Сочи,Личные вещи,Товары для детей и игрушки,Велосипеды и самокаты,,,Велосипед для девочки,"Продаю, в очень хорошем состоянии, велосипед для девочки. Практически не эксплуатировался!!",5000.0,10,2017-03-15,Private,953d24ece24e85a2d1a1bc7f8dad1c0870ed2b2d3e3367e6000161580bfbd5b7,2370.0,0.0
03a92cf5f849,33c8cd628eff,Новосибирская область,Новосибирск,Бытовая электроника,Телефоны,Samsung,,,Samsung galaxy A5 2015,"Телефон в отличном состоянии, всё в комплекте имеется (наушники, зарядное устройство, коробка, документы, чек), 16 ГБ памяти, камера 13 Мп (основная) + 5 Мп (фронтальная). Защитное стекло и чехол прилагаются.",10000.0,24,2017-03-26,Private,17bba0a8c3f3b55e5f1ee6f7ab1f236f1d7384efdf431a8c18e675785d6008c0,2932.0,0.0
03b496006e6c,afda62e70c97,Свердловская область,Нижний Тагил,Личные вещи,"Одежда, обувь, аксессуары",Женская одежда,Джинсы,26,Летние джинсы,"Лёгкие красивые джинсы с заниженной талией, покупала в ките р 44",500.0,131,2017-03-26,Private,2fc72136c4fb4bc109839e2962bd71448bf765b56428b8238df9487b00934aa6,567.0,0.0
