russian_city_name,english_city_name
Крымск,Krymsk
Южноуральск,Yuzhnouralsk
Кыштым,Kyshtym
Лобаново,Lobanowo
Урюпинск,Uryupinsk
Михайловск,Mikhailovsk
Александров,Alexandrov
Шипуново,Shipunovo
Левокумское,Levokumskoe
Ильинская,Ilinskaya
Междуреченск,Mezhdurechensk
Усть-Лабинск,Ust-Labinsk
Мензелинск,Menzelinsk
Лысьва,Lysva
Оса,Wasp
Ершов,Ershov
Киселевск,Kiselevsk
Киреевск,Kireevsk
Ревда,Revda
Орск,Orsk
Полевской,Polevskoy
Узловая,Nodal
Россошь,Rossosh
Троицкое,Troitskoye
Ленинск-Кузнецкий,Leninsk-Kuznetskiy
Кольчугино,Kolchugino
Лесной,Forest
Краснотурьинск,Krasnoturinsk
Саянский,Sayanskiy
Алексеевка,Alekseyevka
Юрюзань,Yuruzan
Заволжье,Zavolzhye
Нефтекумск,Neftekumsk
Новокорсунская,Novokorsunskaya
Голышманово,Golyshmanovo
Безопасное,Secure
Зверево,Zverevo
Средний,Average
Чайковский,Chaikovsky
Гагино,Gagino
Северская,Severskaya
Белорецк,Beloretsk
Ленинградская,Leningradskaya
Багратионовск,Bagrationovsk
Новошахтинск,Novoshakhtinsk
Клетская,Kletskaya
Лиски,Liski
Ирбит,Irbit
Ахтырский,Akhtyrsky
Кумертау,Kumertau
Можга,Mozhga
Рефтинский,Reftinsky
Туапсе,Tuapse
Венев,Venev
Назарово,Nazarovo
Сарапул,Sarapul
Югорск,Yugorsk
Лянтор,Lyantor
Новоуральск,Novouralsk
Красные Баки,Red Banks
Батайск,Bataysk
Киржач,Kirzhach
Кудымкар,Kudymkar
Тара,Tara
Лабинск,Labinsk
Юрьев-Польский,Yuryev-Polsky
Усть-Кут,Ust-Kut
Аша,Asha
Будённовск,Budennovsk
Ефремов,Efremov
Фролово,Frolovo
Медведовская,Medvedovskaya
Гремячинск,Gremyachinsk
Коркино,Korkino
Джалиль,Jalil
Добрянка,Dobryanka
Белебей,Belebey
Каратузское,Karatuzskoe
Артемовский,Artemovsky
Первомайск,Pervomaisk
Ипатово,Ipatovo
Мостовской,Mostovskoy
Плавск,Plavsk
Барабинск,Barabinsk
Чунский,Chunsky
Карабаново,Karabanovo
Балахна,Balakhna
Бутурлиновка,Buturlinovka
Константиновский,Konstantinovsky
Снежинск,Snezhinsk
Собинка,Sobinka
Отрадный,Pleasant
Зима,Winter
Кировград,Kirovgrad
Курганинск,Kurganinsk
Калач,Kalach
Чернушка,Chernushka
Брюховецкая,Bryukhovetskaya
Новодмитриевская,Novodmitrievskaya
Семикаракорск,Semikarakorsk
Советский,Soviet
Раевский,Rayevsky
Саров,Sarov
Лесосибирск,Lesosibirsk
Менделеевск,Mendeleevsk
Частые,Frequent
Табуны,Herdsmen
Агаповка,Agapovka
Сальск,Salsk
Пионерский,Pioneer
Арзгир,Arzgir
Морозовск,Morozovsk
Осинники,Osinniki
Белоярский,Beloyarsky
Нижняя Салда,Lower Salda
Донецк,Donetsk
Черняховск,Chernyakhovsk
Петровск,Petrovsk
Заинск,Zainsk
Пыть-Ях,Pyt-Yakh
Шахунья,Shahunya
Озерки,Ozerki
Старотитаровская,Starotitarovskaya
Кагальницкая,Kagalnitskaya
Камень-на-Оби,Stone-on-Obie
Дегтярск,Degtyarsk
Хвалынск,Khvalynsk
Боголюбово,Bogolyubovo
Верхний Услон,Upper Uslong
Пугачев,Pugachev
Дудинка,Dudinka
Шарыпово,Sharypovo
Шаркан,Sharkan
Староминская,Starominskaya
Соль-Илецк,Sol-Iletsk
Новоминская,Novominskaya
Калининская,Kalininskaya
Нурлат,Nurlat
Балтийск,Baltiysk
Дубовое,Oak
Пошехонье,Poshekhonye
Кормиловка,Feeding
Ставрово,Stavrovo
Апшеронск,Apsheronsk
Богданович,Bogdanovich
Хомутово,Khomutovo
Натухаевская,Natukhaevskaya
Нижняя Тура,Lower Tour
Железноводск,Zheleznovodsk
Сатка,Satka
Чкаловск,Chkalovsk
Янаул,Yanaul
Хадыженск,Khadyzhensk
Подгоренский,Podgorensky
Зирган,Zirgan
Степное,Steppe
Красный Кут,Red Kut
Большая Черниговка,The Big Chernigovka
Лангепас,Langepas
Радужный,Rainbow
Ртищево,Rtishchevo
Полысаево,Polysaevo
Светлогорск,Svetlogorsk
Тальменка,Talmenka
Суздаль,Suzdal
Миньяр,Minyar
Безенчук,Bezenchuk
Камбарка,Kambarka
Анапская,Anapa
Новосемейкино,Novosemeykino
Маслова Пристань,Maslova Pristan
Приобье,Ob
Калининск,Kalininsk
Воротынец,Vorotynets
Данилов,Danilov
Болгар,Bulgar
Зеленокумск,Zelenokumsk
Александровское,Aleksandrovskoe
Нягань,Nyagan
Шиханы,Shihany
Черемхово,Cheremkhovo
Арск,Arsk
Ижморский,Izhmorskiy
Верхние Татышлы,The Upper Tatishli
Тогучин,Toguchin
Ольховка,Olhovka
Среднеуральск,Sredneuralsk
Заречный,Zarechny
Урень,Uren
Вешенская,Veshenskaya
Алапаевск,Alapaevsk
Зеленогорск,Zelenogorsk
Навашино,Navashino
Белореченск,Belorechensk
Камышла,Kamyshla
Славгород,Slavgorod
Ялуторовск,Yalutorovsk
Воронежская,Voronezhskaya
Светлый,Light coloured
Покров,Cover
Аксубаево,Aksubaevo
Бугуруслан,Buguruslan
Ивантеевка,Ivanteyevka
Пестрецы,Pestreets
Култук,Kultuk
Куйбышев,Kuibyshev
Игрим,Igrim
Орловский,Orel
Буинск,Buinsk
Реж,Dir
Кулебаки,Culebaki
Новоалександровск,Novoaleksandrovsk
Кинель,Kinel
Лакинск,Lakinsk
Учалы,Uchaly
Тоншаево,Tonshaevo
Меленки,Melencki
Ардатов,Ardatov
Новокубанск,Novokubansk
Муслюмово,Muslyumovo
Пречистое,Pure
Тавда,Tavda
Ессентукская,Essentuki
Платнировская,Platnirovskaya
Байкальск,Baikalsk
Пласт,Plast
Североуральск,Severouralsk
Тутаев,Tutayev
Серафимовский,Serafimovsky
Тюльган,Tulgan
Красногорский,Krasnogorskiy
Промышленная,Industrial
Хохольский,Khokholsky
Буздяк,Bumblebee
Парковый,Park
Зерноград,Zernograd
Когалым,Kogalym
Малояз,Lazy
Полтавка,Poltavka
Нижнеудинск,Nizhneudinsk
Вязники,Vyazniki
Елизаветинская,Elizavetinskaya
Красноуфимск,Krasnoufimsk
Красноармейск,Krasnoarmeysk
Черемшан,Cheremshan
Лермонтов,Lermontov
Жигулевск,Zhigulevsk
Плотниково,Plotnikovo
Чердынь,Cherdyn
Топки,Firebox
Супсех,Supsex
Новопокровская,Novopokrovskaya
Зауральский,Trans-Ural
Первомайский,Pervomaisky
Советская,Soviet
Куркино,Kurkino
Усть-Катав,Ust-Katav
Бутурлино,Buturlino
Любинский,Lyubinsky
Камышлов,Kamyshlov
Веселый,Cheerful
Касли,Kasli
Вача,Vacha
Аткарск,Atkarsk
Выселки,Settlements
Красноярка,Krasnoiarka
Некрасовское,Nekrasovskoe
Линда,Linda
Тугулым,Tugular
Острогожск,Ostrogozhsk
Языково,Language
Чалтырь,Chaltyre
Чишмы,Chishmy
Сарманово,Sarmanovo
Панино,Panino
Майкор,Maikor
Пролетарск,Proletarsk
Сухой Лог,Dry Log
Полтавская,Poltava
Сузун,Suzun
Талинка,Talinka
Мариинск,Mariinsk
Северный,Northern
Новоузенск,Novouzensk
Тимашевск,Timashevsk
Светлоград,Svetlograd
Рудня,Rudnia
Псебай,Psebay
Садовое,Garden
Чернянка,Chernyanka
Аскарово,Askarovo
Колывань,Kolyvan
Шушенское,Shushenskoe
Кувандык,Kuvandyk
Богатые Сабы,Rich Saba
Новобатайск,Novobaytaysk
Кушва,Kushva
Сибай,Sibai
Верещагино,Vereshchagino
Прохоровка,Prokhorovka
Воскресенское,Resurrection
Спицевка,Spitsevka
Джубга кп,Dzhubga kp
Междуреченский,Mezhdurechensky
Излучинск,Izluchinsk
Афипский,Afipsky
Красный Яр,Krasny Yar
Дивногорск,Divnogorsk
Бреды,Bredy
Сива,Siwa
Кугульта,Cugulta
Нововоронеж,Novovoronezh
Переправная,Overfishing
Решетиха,Reshetiha
Старая Станица,Staraya Stanitsa
Мелиховская,Melihovskaya
Нехаевская,Nekhaevskaya
Белый Яр,White Yar
Боровский,Borovsky
Алейск,Aleysk
Успенское,Assumption
Верхняя Тура,Upper Tour
Свирск,Svirsk
Лукоянов,Lukoyanov
Боргустанская,Borgustan
Вихоревка,Vihorevka
Высокая Гора,High mountain
Давлеканово,Davlekanovo
Камешково,Kameshkovo
Апастово,Apastovo
Иглино,Iglino
Ровеньки,Rovenki
Качканар,Kachkanar
Новомихайловский кп,Novomikhailovsky Kn
Поворино,Povorino
Очер,Ocher
Благовещенск,Blagoveshchensk
Чик,Chick
Слюдянка,Slyudyanka
Батуринская,Baturinskaya
Чусовой,Chusovoy
Павлоградка,Pavlogradka
Заокский,Zaoksky
Рыздвяный,Ridiculous
Нефтегорск,Neftegorsk
Жирновск,Zhirnovsk
Верхнеуральск,Verhneuralsk
Отказное,Refusal
Трехгорный,Trehgorny
Северо-Задонск,North-Zadonsk
Анастасиевская,Anastasievskaya
Тяжинский,Tyazhinsky
Струнино,Strunino
Смоленское,Smolenskoye
Белев,Belev
Абатское,Abat
Новоаннинский,Novoanninsky
Болотное,Swamp green
Заринск,Zarinsk
Алтайское,Altai
Нижнесортымский,Nizhnesortimsky
Нижние Вязовые,Lower Elm
Новодеревянковская,Novodeveryankovskaya
Емельяново,Yemelyanovo
Городище,Settlement
Отрадная,Pleasant
Ельцовка,Eltsovka
Новомышастовская,Novomyshastovskaya
Мышкин,Myshkin
Староуткинск,Starotkinsk
Караидель,Caraydel
Суровикино,Surovikino
Красногвардейское,Krasnogvardeyskoye
Благодарный,Grateful
Суходол,Sukhodol
Белая Глина,White clay
Приморско-Ахтарск,Primorsko-Akhtarsk
Лысково,Lyskovo
Азовская,The Azov
Большой Луг,The Great Meadow
Романово,Romanovo
Кинель-Черкассы,Kinel-Cherkasy
Динская,Dinskaya
Ужур,Uzhur
Волоконовка,Volokonovka
Приютово,Priyutovo
Топчиха,Topchikha
Заветное,Treasured
Троицкая,Troitskaya
Таштагол,Tashtagol
Ирбейское,Irbeiskoe
Поспелиха,Pospelikha
Старощербиновская,Staroshcherbinovskaya
Новый Оскол,New Oskol
Березовка,Berezovka
Казанская,The Kazan
Починки,Fixes
Богородицк,Bogoroditsk
Зольская,Zolskaya
Суворов,Suvorov
Усть-Донецкий,Ust-Donetsk
Чертково,Chertkovo
Калтан,Kaltan
Абдулино,Abdulino
Нытва,Nytva
Бирск,Birsk
Цимлянск,Tsymlyansk
Межозерный,Mezhozerny
Ува,Uva
Анна,Anna
Сергач,Sergach
Качуг,Kachug
Перевоз,Transportation
Карабаш,Karabash
Ермекеево,Yermekeyevo
Киргиз-Мияки,Kirghiz-Miyake
Заозерный,Zaozerny
Донской,Donskoy
Туртас,Turtas
Большой Исток,Great Source
Горняк,Miner
Верхний Мамон,Upper Mammon
Костерево,Kocharyovo
Большеречье,Bolsherechye
Федоровский,Fedorovsky
Упорово,Uporovo
Ясногорск,Yasnogorsk
Сокольское,Sokolskoye
Неман,Niemen
Яр,Yar
Ливенка,Livenka
Новотитаровская,Novotitarovskaya
Кулешовка,Kuleshovka
Красносельский,Krasnoselsky
Красноуральск,Krasnouralsk
Верхняя Хава,Upper Hawa
Уяр,Uyar
Зимовники,Winterers
Ольховатка,Olhovatka
Тулун,Tulun
Горнозаводск,Gornozavodsk
Нижняя Тавда,Lower Tavda
Судогда,Sudogda
Эртиль,Ertil
Солдато-Александровское,Soldato-Aleksandrovskoe
Увельский,Uvelsky
Тетюши,Aunts
Нестеров,Nesterov
Карпинск,Karpinsk
Черлак,Chalk
Аргаяш,Argayash
Григорополисская,Grigoropolis
Муромцево,Muromtsevo
Куйбышево,Kuybyshevo
Песчанокопское,Peschanokopskoe
Еткуль,Etkul
Прибрежный,Coastal
Татарск,Tatarsk
Ребриха,Rebriha
Дальнее Константиново,The far Konstantinovo
Месягутово,Mesyagutovo
Яровое,Spring
Колодезный,Well
Кизильское,Kizil
Чернь,Black
Константиновск,Konstantinovsk
Беляевка,Belyaevka
Зеленоградск,Zelenogradsk
Ивдель,Ivdel
Бриньковская,Brinkovskaya
Краснозерское,Krasnozerskoe
Иланский,Ilan
Крыловская,Krylovskaya
Ленинский,Leninist
Вольгинский,Volginsky
Исилькуль,Isilkul
Агроном,Agronomist
Залари,Zalari
Шерегеш,Sheregesh
Куса,Kusa
Усть-Качка,Ust-Kachka
Серафимович,Serafimovich
Палласовка,Pallasovka
Борисовка,Borisovka
Короча,Korocha
Куйтун,Kuitun
Кочубеевское,Kochubeyevskoe
Дубна,Dubna
Львовское,Lviv
Долгодеревенское,Dolgoderevenskoe
Новопавловск,Novopavlovsk
Курсавка,Kursavka
Куеда,Kueda
Хабары,Khabaras
Ленинск,Leninsk
Родионово-Несветайская,Rodionowo-Nesvetai
Коченево,Kochenevo
Средний Икорец,Average Icorec
Рязанская,Ryazan
Седельниково,Sedelnikovo
Еманжелинск,Emanzhelinsk
Кизел,Kizel
Павловск,Pavlovsk
Новый Рогачик,The New Rohachik
Гаврилов-Ям,Gavrilov-Yam
Железногорск-Илимский,Zheleznogorsk-Ilimsky
Бавлы,Bavly
Кизнер,Kizner
Новая Усмань,New Usman
Рощино,Roshchino
Сенной,Hay
Верхнерусское,Upper-Russian
Самарское,Samara
Александровск,Aleksandrovsk
Мальчевская,Malchevskaya
Линево,Linevo
Медногорск,Mednogorsk
Краснознаменск,Krasnoznamensk
Подгорный,Podgorny
Ермаковское,Ermakovskoe
Багаевская,Bagaevskaya
Уруссу,Urusu
Чебеньки,Chebenki
Болохово,Bolokhovo
Новичиха,Novichikha
Балашейка,Balasheyka
Витязево,Vityazevo
Бородино,Borodino
Боготол,Bogotol
Омутинское,Omutinsky
Новосмолинский,Novosmolinsky
Актюбинский,Aktobe
Енисейск,Yeniseisk
Курская,Kursk
Кез,Kez
Гай,Guy
Кунашак,Kunashak
Богучар,Boguchar
Ладожская,Ladoga
Азово,Azov
Таловая,Talovaya
Голубицкая,Golubitskaya
Талица,Talica
Инской,Inskoy
Ракитное,Rakitnoe
Солнечнодольск,Solnechnodolsk
Ордынское,Ordynsky
Завьялово,Zavyalovo
Ермолаево,Ermolaevo
Холмская,Kholmskaya
Тимирязевский,Timiryazevsky
Большое Мурашкино,Bolshaya Murashkino
Мамонтово,Mamontovo
Яйва,Yaiva
Новоукраинское,New Ukrainian
Двуреченск,Dvurechensk
Челно-Вершины,Chelno-Peaks
Тамань,Taman
Агидель,Agidel
Котельниково,Kotelnikovo
Солнечный,Solar
Ильинский,Ilinsky
Иловля,Ilovlya
Бирюч,Biryuch
Бодайбо,Bodaibo
Дёмино,Demino
Дивеево,Diveevo
Знаменск,Znamensk
Ковернино,Cauternino
Кантемировка,Kantemirovka
Саракташ,Saraktash
Балтаси,Baltasi
Каменоломни,Quarries
Исянгулово,Issyangulovo
Александрийская,Alexandrian
Ахтарский,Akhtarsky
Пестравка,Pestravka
Канеловская,Kanelovskaya
Алнаши,Alnashi
Тарасовский,Tarasovsky
Красная Яруга,The Red Yaruga
Сысерть,Sysert
Красноармейское,Red Army
Тайга,Taiga
Томаровка,Tomarovka
Барда,Barda
Фастовецкая,Fastovetskaya
Лаишево,Laishevo
Алексеевское,Alekseevskoe
Бобров,Bobrov
Залесово,Zalesovo
Шепси,Shepsy
Уральский,The Urals
Исетское,Isetskoye
Актаныш,Aktanysh
Зональное,Zonal
Терновка,Turnovka
Вишневогорск,Vishnevogorsk
Васюринская,Vasyurinskaya
Туринск,Turinsk
Миасское,Miass
Налобиха,Nalobiha
Ясный,Clear
Малая Пурга,The Small Blizzard
Туринская Слобода,Turin Sloboda
Старовеличковская,Starovelichkovskaya
Елань,Yelan
Богандинский,Bogandinsky
Оханск,Okhansk
Баймак,Baymak
Урожайное,Harvesting
Черепаново,Cherepanovo
Борское,Borskoe
Семилуки,Semiluki
Камские Поляны,Kamsky Glade
Красноусольский,Krasnousolsky
Кротовка,Krotovka
Михайловское,Mikhailovskoye
Большая Глушица,Greater Glushitsa
Бердюжье,Birdjoe
Березанская,Berezanskaya
Майский,May
Вейделевка,Veidelevka
Пономарёвка,Ponomarevka
Курлово,Kurlovo
Светлый Яр,Bright Yar
Переволоцкий,Perevolotsky
Косиха,Kosiha
Пластуновская,Plastunovskaya
Ростовка,Rostovka
Георгиевская,Georgievskaya
Гражданское,Civil
Каскара,Cascara
Ярославская,Yaroslavl
Виноградный,Grape
Глубокий,Deep
Малиновое Озеро,Raspberry Lake
Правдинск,Pravdinsk
Васильево,Vasilyevo
Васильково,Vasilkovo
Бородинский,Of Borodino
Николаевск,Nikolayevsk
Каракулино,Karakulino
Птичье,Bird
Мегет,Meget
Таежный,Taiga
Кузино,Cousin
Яя,Yaya
Шаранга,Sharanga
Красная Поляна,Krasnaya Polyana
Новотроицкая,Novotroitskaya
Тацинская,Tatsinskaya
Петра Дубрава,Petra Dubrava
Бакал,Bakal
Новониколаевский,Novonikolaevsky
Обильное,Abundant
Агрыз,Agryz
Каширское,Kashirskoye
Митрофановка,Mitrofanovka
Винзили,Vinzili
Верхние Киги,Upper Kigi
Нежинка,Nezhinka
Стрелецкое,Streletskoye
Крутинка,Krutinka
Новосергиевка,Novosergievka
Старое Дрожжаное,Old Yeast
Яшкино,Yashkino
Полесск,Polessk
Краснокаменск,Krasnokamensk
Шелаболиха,Shelabolicha
Большое Козино,Great Cosino
Култаево,Kultayevo
Рыбная Слобода,Fish Sloboda
Варна,Varna
Береславка,Bereslavka
Уйское,Uyskoe
Ивановская,Ivanovskaya
Средняя Ахтуба,Average Akhtuba
Калужская,Kaluga
Первомайское,Pervomaiskoye
Ключи,Keys
Октябрьск,October
Лихой,Dashing
Шатки,Shatki
Большая Мартыновка,Bolshaya Martynivka
Русская Поляна,Russkaya Polyana
Новоаганск,Novoagansk
Бураево,Buraevo
Аркадак,Arcadak
Кривянская,Krivyanskaya
Верхотурье,Verhoture
Андреево,Andreevo
Ладушкин,Ladushkin
Стародеревянковская,Staroderevyankovskaya
Белоярск,Beloyarsk
Называевск,Nazyvayevsk
Грибановский,Gribanovsky
Кутулик,Koutulik
Старомышастовская,Staromyshastovskaya
Краснощеково,Krasnoschekovo
Рассвет,Dawn
Курагино,Kuragino
Тисуль,Tisul
Грамотеино,Gramoteino
Пролетарский,Proletarian
Арья,Arya
Змеиногорск,Zmeinogorsk
Верхняя Салда,Upper Salda
Трудобеликовский,Trudobelkovsky
Новая Игирма,New Igirma
Приморск,Primorsk
Новый Городок,New Town
Уразово,Urazovo
Грачевка,Grachevka
Кукмор,Quaker
Николо-Павловское,Nikolo-Pavlovskoye
Сюмси,Syumshi
Агинское,Aginskoye
Кабардинка,Kabardinka
Усть-Уда,Ust-Uda
Ивня,Willow
Осиново,Osinovo
Мамадыш,Mamadysh
Дубовка,Dubovka
Большая Мурта,Greater Murta
Криводановка,Krivodanovka
Ерзовка,Erzivka
Красная Горбатка,Red Gorbatka
Балакирево,Balakirevo
Оек,Oak
Вавож,Vavozh
Белореченский,Belorechensky
Приволжье,Privolzhie
Кашары,Potholes
Мошково,Moshkowo
Абан,Aban
Южный,Southern
Хрящевка,Gristle
Новый Некоуз,New Nekouz
Волчанск,Volchansk
Звездный,Star
Одесское,Odessa
Ветлуга,Vetluga
Осинки,Osinki
Усть-Чарышская Пристань,Ust-Charyshskaya Prystan
Новоселицкое,Novoselitskoye
Авдон,Avdon
Мамоново,Mamonovo
Кандры,Kandra
Полетаево,Poletaevo
Салаир,Salair
Межгорье,Mezhgore
Кошки,Cats
Краснооктябрьский,The Red October
Арти,Artie
Должанская,Dolzhanskaya
Юргинское,Yurginsky
Домбаровский,Dombarovsky
Кодинск,Kodinsk
Петров Вал,Petrov Val
Камское Устье,Kamskoye Ustye
Новогуровский,Novogurovsky
Небуг,Nebug
Мирный,Peaceful
Атиг,Atig
Новолуговое,Novy Lugovoe
Матвеев-Курган,Matveyev-Kurgan
Покачи,Pokachi
Новохоперск,Novokhopersk
Бачатский,Bachatsky
Селты,Celta
Красногорское,Krasnogorsk
Сеченово,Sechenovo
Старобалтачево,Starobaltachevo
Веселое,Merry
Саргатское,Sargatsky
Репьевка,Reference
Чесма,Chesma
Курчанская,Kurchanskaya
Новоджерелиевская,Novodzherelyevskaya
Краснообск,Krasnoobsk
Юсьва,Yusva
Тоцкое Второе,Totsky Second
Пшехская,Pshehskaya
Одоев,Odoev
Нововаршавка,Novovarshavka
Сосьва,Sosva
Уинское,Uinskoye
Пятигорский,Pyatigorsky
Кильмезь,Kil'mez
Черноисточинск,Chernoistochinsk
Адамовка,Adamovka
Казьминское,Kazminsky
Киясово,Kiyasovo
Старонижестеблиевская,Staronizhesteblyevskaya
Рамонь,Ramon
Мысхако,Myskhako
Балезино,Balezino
Юганец,Yuganets
Новая Заимка,New Zaimka
Сылва,Sylva
Головчино,Golovchino
Боковская,Bokovskaya
Волово,Volovo
Шербакуль,Sherbakul
Боровиха,Borovikha
Раздольная,Razdolnaya
Ярково,Yarkovo
Тургояк,Turgoyak
Крапивинский,Krapiwinsky
Краснослободск,Krasnoslobodsk
Ольгинская,Olginskaya
Вознесенское,Ascension
Кармаскалы,Carmacales
Спасское,Spassky
Канашево,Kanashevo
Александровка,Alexandrovka
Труновское,Trunovskoe
Тельма,Thelma
Таврическое,Taurian
Ильиногорск,Ilinogorsk
Ворсма,Vorsma
Тимашево,Timashevo
Бакалы,Bakalah
Верх-Чебула,Verh-Chebula
Быково,Bykovo
Пески,Sands
Чулым,Chulym
